Contig,ORF,Day1_D1,Day1_D5,Day1_D9,Day1_L1,Day1_L5,Day1_L9,Day2_D1,Day2_D5,Day2_D9,Day2_L1,Day2_L5,Day2_L9
Contig4.4_27_20267_19518,cce_0948,0.01,0.15,0.24,0.05,0.13,0.04,0.06,0.2,0.3,0.16,0.16,0.14
Contig4.4_28_20414_21409,cce_0949,-0.13,0.04,0.02,0.09,-0.04,-0.07,-0.09,0.07,0.02,0.05,0.02,-0.04
Contig4.4_29_21780_21418,cce_0950,0.16,,0.09,0.01,0.05,0.05,0.15,0.07,0.06,,0.02,0.01
Contig4.4_2_1543_482,cce_0923,-0.53,-0.07,0.05,0.45,-0.07,-0.3,-0.5,-0.01,0.04,0.48,-0.01,-0.23
Contig4.4_3_2695_1760,cce_0924,0.79,0.04,-0.46,-0.33,-0.48,0.3,0.82,,0.13,-0.28,-0.18,0.27
Contig4.4_4_3012_2824,cce_0925,0.09,0.23,0.1,-0.04,-0.11,-0.1,-0.04,0.21,0.14,0.02,-0.05,-0.07
Contig4.4_5_3252_5171,cce_0926,-0.11,-0.01,-0.14,-0.06,-0.21,-0.14,-0.12,-0.12,-0.14,0.03,-0.07,-0.1
Contig4.4_6_6494_5211,cce_0927,-0.12,0.06,-0.06,0.33,-0.03,-0.06,-0.19,0.12,-0.08,0.26,0.05,0.12
Contig4.4_7_6604_7029,cce_0928,0.05,0.02,0.03,-0.1,-0.12,-0.07,0.04,-0.07,-0.08,-0.17,-0.14,-0.16
Contig4.5_10_12003_13001,cce_0960,0.17,0.11,0.13,-0.01,0.11,0.08,0.23,0.12,0.13,,0.03,0.04
Contig4.5_12_14403_13447,cce_0962,0.09,0.07,0.03,-0.03,-0.04,-0.02,0.07,0.1,,-0.05,-0.02,-0.04
Contig4.5_13_15160_14474,cce_0963,0.04,0.2,0.12,-0.05,-0.05,-0.05,0.07,0.11,0.03,-0.07,-0.01,-0.11
Contig4.5_14_15784_15212,cce_0964,-0.06,-0.11,-0.13,-0.18,0.06,0.09,-0.02,-0.13,-0.11,-0.13,-0.02,0.04
Contig4.5_15_15931_16665,cce_0965,-0.05,-0.18,-0.28,0.29,0.35,-0.19,-0.01,-0.03,0.06,0.38,0.59,-0.1
Contig4.5_16_16659_17639,cce_0966,0.07,0.07,0.13,0.24,0.23,0.06,0.09,0.13,0.1,0.15,0.17,0.01
